Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,871,868,112,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2101,1418,257,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3592,1735,423,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4536,2084,600,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5010,2224,715,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5254,2333,781,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5289,2382,746,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,194,348,22,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,487,646,50,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,1052,927,106,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,1908,1267,210,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,2623,1508,295,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,3173,1881,369,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,3298,1877,383,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,325,163,11,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1107,680,74,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2153,1255,222,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,2694,1587,313,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,3176,1834,412,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,3362,2000,441,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,3511,2147,483,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,377,101,2,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1699,629,118,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2901,1226,297,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,3933,1958,578,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4506,2515,806,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4793,2902,927,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4879,3114,1005,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,376,307,25,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1153,647,71,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2534,1048,176,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,3683,1372,330,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4347,1598,426,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4664,1822,500,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4731,1871,531,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,622,195,14,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2526,797,149,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3658,1280,312,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
